"","source","id","type","date","decade","observer","info","species","tot_obs","type1","type2","coords.x1","coords.x2","optional"
"1","CDFW","CDFW1","roadkill",2011-11-11,"2010s","Joe Croteau","north side of road","Porcupine",1,"Dead","Road Kill",542005.447722689,4610785.55770565,TRUE
"2","CDFW","CDFW2","roadkill",2010-04-08,"2010s","Valentine",NA,"Porcupine",1,"Dead","Road Kill",498675.972300867,4297354.5110413,TRUE
"3","CDFW","CDFW3","roadkill",2011-12-08,"2010s","Bob Schaefer",NA,"Porcupine",1,"Dead","Road Kill",548319.938210882,4608204.30036033,TRUE
"6","CDFW","CDFW6","roadkill",2004-09-14,"2000s","D. Acomb",NA,"Porcupine",1,"Dead","Road Kill",495059.984958072,4308280.21124412,TRUE
"7","CDFW","CDFW7","sighting",2009-10-02,"2000s","Scott Koller","stripping bark from tree","Porcupine",1,"Alive",NA,470096.299466913,4325530.39327764,TRUE
"8","CDFW","CDFW8","roadkill",1997-05-12,"1990s","Charlotte Ambrose","reported by GP biologsit","Porcupine",1,"Dead","Road Kill",453884.867912154,4298061.65303365,TRUE
"9","CDFW","CDFW9","roadkill",2002-06-18,"2000s","Erin Simmons","reported by BLM GIS","Porcupine",1,"Dead","Road Kill",483133.857305753,4331977.22171216,TRUE
"10","CDFW","CDFW10","sighting",2005-01-05,"2000s","Scott Koller","observed during helicopter deer transects","Porcupine",1,"Alive",NA,493413.255773363,4307588.54559182,TRUE
"11","CDFW","CDFW11","roadkill",2011-08-01,"2010s","Caitlin Bean","On the side of Big Springs Rd near the Mayten intersection.","Porcupine",1,"Dead","Road Kill",550133.62558036,4604717.33127227,TRUE
"12","CDFW","CDFW12","sighting",2012-05-19,"2010s","Jeremy Bonesio","1:00 A.M.","Porcupine",1,"Alive",NA,539757.965774039,4419348.94484965,TRUE
"13","CDFW","CDFW13","sighting",2012-07-09,"2010s","Richard Callas","Live, evidence of head trauma or sinus infection.","Porcupine",1,"Alive",NA,534597.023564935,4614526.16926527,TRUE
"14","CDFW","CDFW14","sighting",2012-06-29,"2010s","Zane Kagley","10:00 P.M.","Porcupine",1,"Alive",NA,494080.252339622,4315808.21364362,TRUE
"15","CDFW","CDFW15","carcass",2012-05-15,"2010s","Robert Keiffer","Adult, near riparian area","Porcupine",1,"Dead","Unknown",489883.828068343,4314946.85869627,TRUE
"16","CDFW","CDFW16","roadkill",2012-08-17,"2010s","Linda Radford","Center divide, 1 mile north of Lakehead, CA","Porcupine",1,"Dead","Road Kill",551836.274339573,4528711.58038212,TRUE
