Rowid_,VALUE,COUNT
,1,9567
,3,11931883
,4,477499
,5,51422
,6,1883439
,7,818517
,8,2366278
,9,4554595
,10,637267
,11,596430
,12,1305148
,13,515370
,14,13612143
,15,747
,17,18
,20,5113699
,21,4402
,22,476444
,24,549130
,26,3374998
,27,6005235
,28,2552085
,29,412511
,30,2698195
,32,4804543
,34,4153911
,35,8084412
,36,10084562
,37,587480
,39,1203927
,42,3381476
,43,360490
,44,4323243
,45,2167693
,48,353292
,49,93095
,50,9092668
,51,11738896
,53,2501254
,55,151490
,56,393656
,57,584330
,58,3846950
,59,708603
,60,3427269
,62,43172
,63,18849
,66,808189
,67,1982640
,68,151367
,69,569036
,70,389577
,71,1834015
,72,1252332
,75,595235
,76,514
,77,53850
,78,2513689
,79,45891
