WHR_type,WHR_name,CDFW,Yocom,PF,GBIF,NRIS,CROS,MISC,TOTAL,Percent
ADS,Alpine-Dwarf Shrub,0,0,0,0,0,0,0,0,0.00
AGS,Annual Grassland,18,8,15,5,3,5,1,55,15.45
ASC,Alkali Desert Scrub,0,0,0,0,0,0,0,0,0.00
ASP,Aspen,0,0,0,0,0,0,0,0,0.00
BAR,Barren,7,0,11,3,2,2,0,25,7.02
BBR,Bitterbrush,0,0,0,2,0,0,0,2,0.56
BOP,Blue Oak-Foothill Pine,0,1,0,0,0,0,0,1,0.28
BOW,Blue Oak Woodland,0,0,0,0,0,0,0,0,0.00
CHP,Undetermined Shrub,0,0,0,0,0,0,0,0,0.00
CON,Undetermined Conifer,0,0,0,0,0,0,0,0,0.00
COW,Coastal Oak Woodland,0,0,0,0,0,0,0,0,0.00
CPC,Closed-Cone Pine-Cypress,0,1,0,0,0,0,0,1,0.28
CRC,Chamise-Redshank Chaparral,0,0,0,0,0,0,0,0,0.00
CRP,Cropland,5,0,1,5,0,0,0,11,3.09
CSC,Coastal Scrub,1,2,10,2,0,0,0,15,4.21
DFR,Douglas Fir,1,21,2,1,0,0,0,25,7.02
DGR,Dryland Grain Crops,0,0,0,0,0,0,0,0,0.00
DOR,Deciduous Orchard,1,0,0,0,0,0,0,1,0.28
DRI,Desert Riparian,0,0,0,0,0,0,0,0,0.00
DSC,Desert Scrub,0,0,0,0,0,0,0,0,0.00
EOR,Evergreen Orchard,0,0,0,0,0,0,0,0,0.00
EPN,Eastside Pine,6,0,0,4,6,0,0,16,4.49
EST,Estuarine,0,0,0,0,0,0,0,0,0.00
EUC,Eucalyptus,0,0,0,0,0,0,0,0,0.00
FEW,Fresh Emergent Wetland,0,0,0,0,0,0,0,0,0.00
HDW,Undetermined Hardwood,0,0,0,0,0,0,0,0,0.00
IGR,Irrigated Grain Crops,0,0,0,0,0,0,0,0,0.00
IRF,Irrigated Row and Field Crops,0,0,0,0,0,0,0,0,0.00
IRH,Irrigated Hayfield,1,0,0,1,0,0,1,3,0.84
JPN,Jeffrey Pine,1,0,0,2,0,0,0,3,0.84
JUN,Juniper,2,0,0,2,0,0,0,4,1.12
KMC,Klamath Mixed Conifer,0,3,0,0,0,0,0,3,0.84
LAC,Lacustrine,0,0,0,1,2,0,0,3,0.84
LPN,Lodgepole Pine,3,0,0,0,0,0,0,3,0.84
LSG,Low Sage,0,0,0,1,0,0,0,1,0.28
MAR,Marsh,0,2,0,0,0,0,0,2,0.56
MCH,Mixed Chaparral,0,0,0,0,0,1,0,1,0.28
MCP,Montane Chaparral,3,1,0,2,1,0,0,7,1.97
MHC,Montane Hardwood-Conifer,1,11,2,1,0,0,0,15,4.21
MHW,Montane Hardwood,2,2,0,3,0,0,0,7,1.97
MRI,Montane Riparian,1,3,4,0,0,0,1,9,2.53
PAS,Pasture,3,0,4,1,0,1,1,10,2.81
PGS,Perennial Grassland,1,1,2,0,0,0,0,4,1.12
PPN,Ponderosa Pine,1,0,0,0,3,0,0,4,1.12
RDW,Redwood,2,9,9,0,0,1,1,22,6.18
RFR,Red Fir,4,0,0,1,0,0,0,5,1.40
RIC,Rice,0,0,0,0,0,0,0,0,0.00
RIV,Riverine,3,1,0,1,0,0,0,5,1.40
SCN,Subalpine Conifer,0,0,0,0,0,0,0,0,0.00
SEW,Saline Emergent Wetland,0,0,0,0,0,0,0,0,0.00
SGB,Sagebrush,0,0,1,10,2,0,0,13,3.65
SMC,Sierran Mixed Conifer,10,0,0,7,19,0,0,36,10.11
URB,Urban,20,1,5,2,0,4,0,32,8.99
VIN,Vineyard,0,0,0,0,0,0,1,1,0.28
VOW,Valley Oak Woodland,0,0,0,0,0,0,0,0,0.00
VRI,Valley Foothill Riparian,2,0,0,0,0,0,0,2,0.56
WAT,Water,0,0,0,0,0,0,0,0,0.00
WFR,White Fir,1,3,0,0,2,0,0,6,1.69
WTM,Wet Meadow,2,0,0,1,0,0,0,3,0.84
,,102,70,66,58,40,14,6,356,100.00
