"","CWHRNAME","CWHRTYPE","prop","use_avail"
"1","Klamath Mixed Conifer","KMC",0.042216473414174,"avail"
"2","Red Fir","RFR",0.0152387631632386,"avail"
"3","Douglas Fir","DFR",0.095692620366969,"avail"
"4","White Fir","WFR",0.0270438479760837,"avail"
"5","Montane Riparian","MRI",0.00412995225022151,"avail"
"6","Perennial Grassland","PGS",0.00846354092522713,"avail"
"7","Montane Chaparral","MCP",0.0292017670076767,"avail"
"8","Subalpine Conifer","SCN",0.00248362342613409,"avail"
"9","Barren","BAR",0.0132404730990075,"avail"
"10","Wet Meadow","WTM",0.00498144031177864,"avail"
"11","Annual Grassland","AGS",0.083880484519013,"avail"
"12","Urban","URB",0.0175836787391495,"avail"
"13","Montane Hardwood","MHW",0.0708939189834519,"avail"
"14","Montane Hardwood-Conifer","MHC",0.056832973941441,"avail"
"15","Mixed Chaparral","MCH",0.0337756743619119,"avail"
"16","Juniper","JUN",0.0237260512436051,"avail"
"17","Ponderosa Pine","PPN",0.0237715912290972,"avail"
"18","Lacustrine","LAC",0.0179410178874286,"avail"
"19","Redwood","RDW",0.0303921617010016,"avail"
"20","Pasture","PAS",0.00880382542626882,"avail"
"21","Coastal Scrub","CSC",0.00362302289643334,"avail"
"22","Marsh","MAR",0.000322611218620064,"avail"
"23","Cropland","CRP",0.0240935135130803,"avail"
"24","Jeffrey Pine","JPN",0.00386035384892105,"avail"
"25","Riverine","RIV",0.00253422497222433,"avail"
"26","Closed-Cone Pine-Cypress","CPC",0.00419287026043374,"avail"
"27","Coastal Oak Woodland","COW",0.0044799521356334,"avail"
"28","Lodgepole Pine","LPN",0.00289992975538082,"avail"
"29","Sierran Mixed Conifer","SMC",0.0825237964702054,"avail"
"30","Sagebrush","SGB",0.0639209584447421,"avail"
"31","Eastside Pine","EPN",0.0359490241233838,"avail"
"32","Bitterbrush","BBR",0.00575412971674706,"avail"
"33","Low Sage","LSG",0.0189681631915749,"avail"
"34","Irrigated Hayfield","IRH",0.0128930250837305,"avail"
"35","Aspen","ASP",0.000361493845936697,"avail"
"36","Chamise-Redshank Chaparral","CRC",0.00917511901591902,"avail"
"37","Dryland Grain Crops","DGR",0.00568152444194572,"avail"
"38","Estuarine","EST",3.09458191010334e-05,"avail"
"39","Irrigated Row and Field Crops","IRF",0.00273870499044145,"avail"
"40","Irrigated Grain Crops","IGR",0.00400029193956738,"avail"
