Rowid_,VALUE,COUNT,WHRALL,LIFE_FORM,WHRNUM,WHRNAME,WHRTYPE,WHRSIZE,WHRDENSITY,WHR10NUM,WHR10NAME,WHR13NUM,WHR13NAME,SOURCE_NAME,SOURCE_YEAR
,1,910509,KMC4D,CONIFER,27,Klamath Mixed Conifer,KMC,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,2,177088,RFR5D,CONIFER,45,Red Fir,RFR,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,3,956930,KMC5D,CONIFER,27,Klamath Mixed Conifer,KMC,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,4,106809,RFR4D,CONIFER,45,Red Fir,RFR,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,5,751210,DFR5D,CONIFER,14,Douglas Fir,DFR,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,6,119809,RFR4M,CONIFER,45,Red Fir,RFR,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,7,1067005,DFR5D,CONIFER,14,Douglas Fir,DFR,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,8,367751,WFR5D,CONIFER,58,White Fir,WFR,5,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,9,1114,RFR2D,CONIFER,45,Red Fir,RFR,2,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,10,748688,DFR4D,CONIFER,14,Douglas Fir,DFR,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,11,28905,MRIXX,SHRUB,37,Montane Riparian,MRI,X,X,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,12,296290,KMC4M,CONIFER,27,Klamath Mixed Conifer,KMC,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,13,71028,PGSXX,HERBACEOUS,39,Perennial Grassland,PGS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNE,2007
,14,15652,RFR3D,CONIFER,45,Red Fir,RFR,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,15,1186248,MCPXX,SHRUB,34,Montane Chaparral,MCP,X,X,70.000000000000000,Shrub,70,Shrub,CALVEG-NorthCoastNE,2007
,16,23540,RFR3P,CONIFER,45,Red Fir,RFR,3,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,17,7740,RFR3S,CONIFER,45,Red Fir,RFR,3,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,18,26730,RFR3M,CONIFER,45,Red Fir,RFR,3,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,19,53460,RFR5M,CONIFER,45,Red Fir,RFR,5,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,20,185702,KMC3D,CONIFER,27,Klamath Mixed Conifer,KMC,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,21,49352,KMC3P,CONIFER,27,Klamath Mixed Conifer,KMC,3,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,22,46725,RFR4P,CONIFER,45,Red Fir,RFR,4,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,23,11799,RFR4S,CONIFER,45,Red Fir,RFR,4,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,24,37832,SCN4M,CONIFER,48,Subalpine Conifer,SCN,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,25,10417,RFR5P,CONIFER,45,Red Fir,RFR,5,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,26,291985,BARXX,BARREN/OTHER,6,Barren,BAR,X,X,20.000000000000000,Barren/Other,20,Barren/Other,CALVEG-NorthCoastNE,2007
,27,14840,WTMXX,HERBACEOUS,59,Wet Meadow,WTM,X,X,100.000000000000000,Wetland,100,Wetland,CALVEG-NorthCoastNE,2007
,28,458455,AGSXX,HERBACEOUS,3,Annual Grassland,AGS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNE,2007
,29,16090,SCN4S,CONIFER,48,Subalpine Conifer,SCN,4,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,30,23193,URBXX,URBAN,53,Urban,URB,X,X,80.000000000000000,Urban,80,Urban,CALVEG-NorthCoastNE,2007
,31,17625,SCN3P,CONIFER,48,Subalpine Conifer,SCN,3,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,32,15884,SCN3S,CONIFER,48,Subalpine Conifer,SCN,3,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,33,3061,RFR2S,CONIFER,45,Red Fir,RFR,2,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,34,28688,SCN4P,CONIFER,48,Subalpine Conifer,SCN,4,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,35,198123,WFR4D,CONIFER,58,White Fir,WFR,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,36,5237,RFR2P,CONIFER,45,Red Fir,RFR,2,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,37,115625,KMC3M,CONIFER,27,Klamath Mixed Conifer,KMC,3,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,38,3484,RFR2M,CONIFER,45,Red Fir,RFR,2,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,39,159843,DFR4M,CONIFER,14,Douglas Fir,DFR,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,40,129529,WFR4M,CONIFER,58,White Fir,WFR,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,41,109039,MHW4M,HARDWOOD,36,Montane Hardwood,MHW,4,M,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,42,15638,MHW4P,HARDWOOD,36,Montane Hardwood,MHW,4,P,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,43,399539,MHW3D,HARDWOOD,36,Montane Hardwood,MHW,3,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,44,58012,MHC3M,CONIFER,35,Montane Hardwood-Conifer,MHC,3,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,45,378990,MHW4D,HARDWOOD,36,Montane Hardwood,MHW,4,D,50.000000000000000,Hardwood,51,Hardwood Forest,CALVEG-NorthCoastNE,2007
,46,76877,DFR3M,CONIFER,14,Douglas Fir,DFR,3,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,47,148468,DFR3D,CONIFER,14,Douglas Fir,DFR,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,48,573669,MHC4D,CONIFER,35,Montane Hardwood-Conifer,MHC,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,49,669370,DFR4D,CONIFER,14,Douglas Fir,DFR,4,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,50,37400,WFR3D,CONIFER,58,White Fir,WFR,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,51,1042,SCN2M,CONIFER,48,Subalpine Conifer,SCN,2,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,52,1228,SCN2P,CONIFER,48,Subalpine Conifer,SCN,2,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,53,65224,DFR5M,CONIFER,14,Douglas Fir,DFR,5,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,54,113700,KMC5M,CONIFER,27,Klamath Mixed Conifer,KMC,5,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,55,194301,DFR3D,CONIFER,14,Douglas Fir,DFR,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,56,140218,MHC4M,CONIFER,35,Montane Hardwood-Conifer,MHC,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,57,193598,MHC3D,CONIFER,35,Montane Hardwood-Conifer,MHC,3,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,58,28821,KMC2D,CONIFER,27,Klamath Mixed Conifer,KMC,2,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,59,71315,KMC4P,CONIFER,27,Klamath Mixed Conifer,KMC,4,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,60,28790,WFR3M,CONIFER,58,White Fir,WFR,3,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,61,70168,DFR4M,CONIFER,14,Douglas Fir,DFR,4,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,62,17445,WFR3P,CONIFER,58,White Fir,WFR,3,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,63,43417,DFR3M,CONIFER,14,Douglas Fir,DFR,3,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,64,45023,WFR4P,CONIFER,58,White Fir,WFR,4,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,65,181,PGSXX,HERBACEOUS,39,Perennial Grassland,PGS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNE/CALFIRE update,2007
,67,3297,WFR2D,CONIFER,58,White Fir,WFR,2,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,68,14740,KMC2P,CONIFER,27,Klamath Mixed Conifer,KMC,2,P,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,69,26222,KMC2M,CONIFER,27,Klamath Mixed Conifer,KMC,2,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,71,2096,AGSXX,HERBACEOUS,3,Annual Grassland,AGS,X,X,60.000000000000000,Herbaceous,60,Herbaceous,CALVEG-NorthCoastNE/CALFIRE update,2007
,72,16346,KMC4S,CONIFER,27,Klamath Mixed Conifer,KMC,4,S,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
,73,60471,WFR5M,CONIFER,58,White Fir,WFR,5,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,74,27965,DFR2D,CONIFER,14,Douglas Fir,DFR,2,D,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,75,15668,MHC2M,CONIFER,35,Montane Hardwood-Conifer,MHC,2,M,30.000000000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
,76,777737,MCHXX,SHRUB,32,Mixed Chaparral,MCH,X,X,70.000000000000000,Shrub,70,Shrub,CALVEG-NorthCoastNE,2007
