"","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","created","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.occurrenceDetails","http...unknown.org.organismID","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","lowestBiostratigraphicZone","member","modified","month","municipality","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimSRS","verbatimTaxonRank","vernacularName","waterBody","year","downloadDate","name","id","type_new","decade"
"5",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2631421","Mammalia",359,"United States","Observations",NA,NA,NA,24,"United States",NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-30T22:37:07.000+0000",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-01-09T23:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",1249280417,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2631421",NA,4934286,NA,NA,NA,NA,"2631421",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1249280417,"Animalia",1,NA,"2016-06-06T11:30:53.997+0000","2016-06-06T12:34:49.301+0000","2016-06-06T11:30:54.393+0000",41.90804,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-124.20429,NA,NA,"2016-02-09T18:04:56.000+0000",1,NA,NA,"http://www.inaturalist.org/observations/2631421",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Cara",NA,"http://www.inaturalist.org/observations/2631421",NA,"© Cara some rights reserved","Cara",NA,"Erethizon dorsatum (Linnaeus, 1758)",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatum",NA,44026,2437594,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-01-10","Tolowa Dunes State Park",NA,NA,NA,NA,2016,"2016-06-16","California","GBIF1","sighting","2010s"
"17",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2709396","Mammalia",359,"United States","Observations",NA,NA,NA,49,"United States",NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-23T04:48:22.000+0000",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-02-19T23:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",1262369606,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2709396",NA,5246829,NA,NA,NA,NA,"2709396",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1262369606,"Animalia",1,NA,"2016-06-06T11:31:02.436+0000","2016-06-06T12:36:54.229+0000","2016-06-06T11:31:02.639+0000",41.88199,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-124.20149,NA,NA,"2016-03-22T14:46:32.000+0000",2,NA,NA,"http://www.inaturalist.org/observations/2709396","No animal photo here, but an interesting observation from a porcupine we captured to radio-collar. While recovering from anesthesia, it urinated (fairly common) and its urine was a deep orange/red color, seen in the photos. This was the first time I had seen that. Also shown are some photos of fresh feeding sign I took the same day, showing porcupine feeding on bark and needles of shore pine (Pinus contorta contorta) this time of year.",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Cara",NA,"http://www.inaturalist.org/observations/2709396",NA,"© Cara some rights reserved","Cara",NA,"Erethizon dorsatum (Linnaeus, 1758)",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatum",NA,44026,2437594,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-02-20","Tolowa Dunes State Park",NA,NA,NA,NA,2016,"2016-06-16","California","GBIF2","track","2010s"
"42",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2872339","Mammalia",359,"United States","Observations",NA,NA,NA,6,"United States",NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-04-03T07:14:45.000+0000",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-04-01T22:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",1265554416,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2872339",NA,5604247,NA,NA,NA,NA,"2872339",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1265554416,"Animalia",1,NA,"2016-06-06T11:31:19.030+0000","2016-06-06T12:40:21.252+0000","2016-06-06T11:31:19.241+0000",41.88352,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-124.20263,NA,NA,"2016-04-03T07:15:40.000+0000",4,NA,NA,"http://www.inaturalist.org/observations/2872339","in willow tree ",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Cara",NA,"http://www.inaturalist.org/observations/2872339",NA,"© Cara some rights reserved","Cara",NA,"Erethizon dorsatum (Linnaeus, 1758)",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatum",NA,44026,2437594,"SPECIES",NA,NA,NA,NA,NA,NA,"2016-04-02","Tolowa Dunes State Park",NA,NA,NA,NA,2016,"2016-06-16","California","GBIF3","sighting","2010s"
"136",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2631450","Mammalia",359,"United States","Observations",NA,NA,NA,134,"United States",NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-30T22:47:21.000+0000",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-06-14T22:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",1249280352,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2631450",NA,4934337,NA,NA,NA,NA,"2631450",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1249280352,"Animalia",1,NA,"2016-06-06T11:30:53.992+0000","2016-06-06T12:34:49.428+0000","2016-06-06T11:30:54.382+0000",41.92886,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-124.20379,NA,NA,"2016-02-01T21:05:46.000+0000",6,NA,NA,"http://www.inaturalist.org/observations/2631450","tracks on river bank (visual observation nearby also)",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Cara",NA,"http://www.inaturalist.org/observations/2631450",NA,"© Cara some rights reserved","Cara",NA,"Erethizon dorsatum (Linnaeus, 1758)",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatum",NA,44026,2437594,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-06-15","Tolowa Dunes State Park",NA,NA,NA,NA,2015,"2016-06-16","California","GBIF4","track","2010s"
"175",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2631550","Mammalia",359,"United States","Observations",NA,NA,NA,33,"United States",NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-01-30T23:29:37.000+0000",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-10-10T22:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",1249280380,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2631550",NA,4934632,NA,NA,NA,NA,"2631550",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1249280380,"Animalia",1,NA,"2016-06-06T11:30:54.002+0000","2016-06-06T12:34:49.273+0000","2016-06-06T11:30:54.389+0000",41.90752,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-124.19826,NA,NA,"2016-01-31T08:05:18.000+0000",10,NA,NA,"http://www.inaturalist.org/observations/2631550",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Cara",NA,"http://www.inaturalist.org/observations/2631550",NA,"© Cara some rights reserved","Cara",NA,"Erethizon dorsatum (Linnaeus, 1758)",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatum",NA,44026,2437594,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-10-11","yontocket",NA,NA,NA,NA,2015,"2016-06-16","California","GBIF5","sighting","2010s"
"186",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2814248","Mammalia",359,"United States","Observations",NA,NA,NA,NA,"United States",NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-03-21T21:48:58.000+0000",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-11-13T23:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",1262385710,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2814248",NA,5477408,NA,NA,NA,NA,"2814248",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1262385710,"Animalia",1,NA,"2016-06-06T11:31:13.217+0000","2016-06-06T12:39:19.886+0000","2016-06-06T11:31:13.296+0000",41.87305,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-124.20407,NA,NA,"2016-03-21T22:23:51.000+0000",11,NA,NA,"http://www.inaturalist.org/observations/2814248",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Emily Aarsvold",NA,"http://www.inaturalist.org/observations/2814248",NA,"© Emily Aarsvold some rights reserved","Emily Aarsvold",NA,"Erethizon dorsatum (Linnaeus, 1758)",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatum",NA,44026,2437594,"SPECIES",NA,NA,NA,NA,NA,NA,"2015-11-14","Tolowa Dunes State Park",NA,NA,NA,NA,2015,"2016-06-16","California","GBIF6","sighting","2010s"
"405",NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"2657215","Mammalia",359,"United States","Observations",NA,NA,NA,323,"United States",NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-02-08T17:47:34.000+0000",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-04T23:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",1249289519,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/2657215",NA,4996438,NA,NA,NA,NA,"2657215",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1249289519,"Animalia",1,NA,"2016-06-06T11:30:56.813+0000","2016-06-06T12:35:34.209+0000","2016-06-06T11:30:57.114+0000",39.4167,NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,NA,NA,-120.29669,NA,NA,"2016-02-23T04:32:26.000+0000",1,NA,NA,"http://www.inaturalist.org/observations/2657215",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","faerthen",NA,"http://www.inaturalist.org/observations/2657215",NA,"© faerthen some rights reserved","faerthen",NA,"Erethizon dorsatum (Linnaeus, 1758)",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatum",NA,44026,2437594,"SPECIES",NA,NA,NA,NA,NA,NA,"2010-01-05","Sagehen Creek Field Station",NA,NA,NA,NA,2010,"2016-06-16","California","GBIF7","track","2010s"
"843",NA,"California","Sonoma Co.",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"24152","Mammalia",359,"1 mile north of village of Bloomfield, California, Sonoma Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1995-06-29T22:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",583521646,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,"MaNIS georeferencing guidelines",NA,NA,"unverified",NA,"Animalia; Chordata; Mammalia; Rodentia; Erethizontidae","North America; USA; California; Sonoma Co.",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CAS:MAM:24152",NA,NA,"epixanthus","CAS",NA,NA,NA,"US",583521646,"Animalia",1,"en","2016-06-06T17:57:21.813+0000","2016-04-17T09:42:31.055+0000","2016-03-29T19:22:54.505+0000",38.3243958260023,NA,NA,NA,NA,NA,NA,NA,"1 mile north of village of Bloomfield",NA,NA,NA,-122.847754924126,NA,NA,NA,6,NA,NA,"urn:catalog:CAS:MAM:24152","Found dead on road.",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,"SSS",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","L. F. Baptista",NA,NA,NA,NA,NA,NA,"Erethizon dorsatus subsp. epixanthus Brandt, 1835",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatus",181,NA,6066827,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"30 Jun 1995",NA,NA,NA,NA,NA,1995,"2016-06-16","California","GBIF8","specimen","1990s"
"1017","http://www.vertnet.org/resources/norms.html","California","Nevada County",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"185231","Mammalia",359,"Sagehen Creek Field Station, Hwy. 89, 0.35 mi N Nevada County line, California, Nevada County, United States, NORTH_AMERICA","Mammal specimens","urn:lsid:biocol.org:col:34904","NORTH_AMERICA",NA,217.26,"United States",NA,NA,NA,"0daed095-478a-4af6-abf5-18acb790fbb2",NA,"1999-01-26T23:00:00.000+0000",21,NA,NA,NA,"sex=female",NA,NA,NA,NA,NA,NA,NA,172,NA,"1985-06-20T22:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",1145760117,"Erethizon","Erethizon",2437593,"WGS84",NA,"Kristina Yamamoto","2002-02-06 00:00:00.0","not recorded",NA,"Sagehen Creek Field Station Website; Terrain Navigator 3.02 USGS 1:24000","unverified",NA,"Animalia; Chordata; Mammalia; Rodentia; Erethizontidae;  (Linnaeus, 1758)","North America, United States, California, Nevada County",NA,NA,NA,NA,"A",NA,"legacy","Museum of Vertebrate Zoology, University of California, Berkeley","http://arctos.database.museum/guid/MVZ:Mamm:185231?seid=1483226",1,NA,NA,"MVZ","urn:lsid:biocol.org:col:34777",NA,NA,"US",1145760117,"Animalia",1,"en","2016-05-26T02:11:03.547+0000","2016-05-26T02:12:55.988+0000","2016-05-26T02:11:04.256+0000",39.4313853930881,NA,NA,NA,NA,NA,NA,NA,"Sagehen Creek Field Station, Hwy. 89, 0.35 mi N Nevada County line","Kristina Yamamoto",NA,NA,-120.24367950757,NA,NA,NA,6,NA,"ICZN","http://arctos.database.museum/guid/MVZ:Mamm:185231?seid=1483226",NA,NA,"Rodentia",1459,"http://arctos.database.museum/guid/MVZ:Mamm:185231","collector number=118",NA,NA,"Chordata",44,"skull; skeleton","<i>Erethizon dorsatum</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy","DWC_ARCHIVE","US","8edbbde0-055e-11d8-b850-b8a03c50a862","Collector(s): Patrick A. Kelly","118","http://arctos.database.museum/guid/MVZ:Mamm:185231",NA,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,"Erethizon dorsatum (Linnaeus, 1758)",NA,"FEMALE","GBIF","Erethizon dorsatus",6066824,"dorsatum",NA,NA,2437594,"SPECIES",NA,"PhysicalObject",NA,NA,"decimal degrees",NA,"21 Jun 1985","Sagehen Creek Field Station, Hwy. 89, 0.35 mi N Nevada Co. line",NA,NA,NA,NA,1985,"2016-06-16","California","GBIF9","specimen","1980s"
"1231",NA,"California","Del Norte Co.",NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,"24412","Mammalia",359,"Kings Valley Rd. near junction with Hwy 199., California, Del Norte Co., United States, NORTH_AMERICA","MAM",NA,"NORTH_AMERICA",NA,NA,"United States",NA,NA,NA,"6ce7290f-47f6-4046-8356-371f5b6749df",NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1976-07-17T23:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,NA,"United States",583522574,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,"not recorded",NA,NA,"unverified",NA,"Animalia; Chordata; Mammalia; Rodentia; Erethizontidae","North America; USA; California; Del Norte Co.",NA,NA,NA,NA,NA,NA,NA,"Douglas J. Long","urn:catalog:CAS:MAM:24412",NA,NA,"epixanthus","CAS",NA,NA,NA,"US",583522574,"Animalia",1,"en","2016-06-06T17:57:21.872+0000","2016-04-17T09:42:31.076+0000","2016-03-29T19:22:54.567+0000",41.8045225128576,NA,NA,NA,NA,NA,NA,"ADULT","Kings Valley Rd. near junction with Hwy 199.",NA,NA,NA,-124.138426259921,NA,NA,NA,7,NA,NA,"urn:catalog:CAS:MAM:24412","Skull only.",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,"SK",NA,"DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","S. Cutler","SC45M",NA,NA,NA,NA,NA,"Erethizon dorsatus subsp. epixanthus Brandt, 1835",NA,NA,"GBIF","Erethizon dorsatus",6066824,"dorsatus",200,NA,6066827,"SUBSPECIES",NA,"PhysicalObject",NA,NA,NA,NA,"18 Jul 1976",NA,NA,NA,NA,NA,1976,"2016-06-16","California","GBIF10","specimen","1970s"
